date,fed,y2,y5,y10,fed_fitted_p,y2_q_sse,y5_q_sse,y10_q_sse,y2_q_ratio,y5_q_ratio,y10_q_ratio
2004-08-31,0.015,0.0239,0.0331,0.0412,0.012526653863329884,0.01923038185437461,0.02397779644047256,0.02913120520690534,0.015950481308175214,0.01719148992711901,0.01883160800324657
2004-09-30,0.0175,0.0260999999999999,0.0337,0.0412,0.015002830526670353,0.021344051599152383,0.025651635507747062,0.03032079476162657,0.018393683278721186,0.019552690340572648,0.021064187152881532
2004-10-29,0.0175,0.0255,0.0327999999999999,0.0401999999999999,0.017479007190010824,0.021344051599152383,0.025651635507747062,0.03032079476162657,0.018393683278721186,0.019552690340572648,0.021064187152881532
2004-11-30,0.02,0.03,0.0369,0.0435,0.017479007190010824,0.023457721343930156,0.027325474575021557,0.0315103843163478,0.020836885249267155,0.021913890754026284,0.023296766302516498
2004-12-31,0.0225,0.0306999999999999,0.0361,0.0421999999999999,0.019955183853351294,0.02557139108870793,0.02899931364229606,0.03269997387106902,0.023280087219813124,0.024275091167479917,0.025529345452151464
2005-01-31,0.0225,0.0327,0.0369,0.0412999999999999,0.022431360516691763,0.02557139108870793,0.02899931364229606,0.03269997387106902,0.023280087219813124,0.024275091167479917,0.025529345452151464
2005-02-28,0.025,0.036,0.0401,0.0438,0.022431360516691763,0.0276850608334857,0.03067315270957056,0.03388956342579025,0.025723289190359096,0.026636291580933558,0.027761924601786427
2005-03-31,0.0275,0.0377,0.0417,0.0448,0.024907537180032236,0.029798730578263474,0.03234699177684506,0.03507915298051147,0.028166491160905065,0.02899749199438719,0.029994503751421393
2005-04-29,0.0275,0.0365,0.0389,0.042,0.027383713843372706,0.029798730578263474,0.03234699177684506,0.03507915298051147,0.028166491160905065,0.02899749199438719,0.029994503751421393
2005-05-31,0.03,0.0356999999999999,0.0374,0.0398,0.027383713843372706,0.03191240032304125,0.034020830844119554,0.0362687425352327,0.030609693131451034,0.031358692407840824,0.03222708290105636
2005-06-30,0.0325,0.0363,0.037,0.0391,0.029859890506713175,0.03402607006781902,0.03569466991139406,0.03745833208995393,0.033052895101997014,0.033719892821294464,0.03445966205069132
2005-07-29,0.0325,0.0401,0.0412,0.0428,0.03233606717005365,0.03402607006781902,0.03569466991139406,0.03745833208995393,0.033052895101997014,0.033719892821294464,0.03445966205069132
2005-08-31,0.035,0.0381,0.0385999999999999,0.0401,0.03233606717005365,0.03613973981259679,0.03736850897866856,0.038647921644675155,0.03549609707254298,0.036081093234748104,0.036692241200326284
